# nu(cm-1)        I       SG
      1622  0.94566  0.94587
      1623  0.94809  0.94942
      1624  0.95651  0.95292
      1625  0.96322  0.95624
      1626  0.96721  0.95948
      1627  0.97450  0.96248
      1628  0.98199  0.96518
      1629  0.98002  0.96775
      1630  0.97566  0.97022
      1631  0.97399  0.97250
      1632  0.97562  0.97450
      1633  0.97816  0.97631
      1634  0.97498  0.97802
      1635  0.97212  0.97950
      1636  0.97982  0.98062
      1637  0.98467  0.98162
      1638  0.98482  0.98262
      1639  0.98567  0.98346
      1640  0.98910  0.98397
      1641  0.98964  0.98430
      1642  0.98720  0.98447
      1643  0.98607  0.98444
      1644  0.98558  0.98426
      1645  0.98419  0.98380
      1646  0.98383  0.98316
      1647  0.98778  0.98258
      1648  0.98649  0.98176
      1649  0.97916  0.98071
      1650  0.97379  0.97961
      1651  0.97511  0.97829
      1652  0.97294  0.97659
      1653  0.96791  0.97474
      1654  0.97234  0.97298
      1655  0.97168  0.97091
      1656  0.96882  0.96865
      1657  0.97044  0.96648
      1658  0.96462  0.96416
      1659  0.95999  0.96172
      1660  0.95939  0.95923
      1661  0.95545  0.95666
      1662  0.95355  0.95407
      1663  0.95129  0.95156
      1664  0.94595  0.94917
      1665  0.94312  0.94662
      1666  0.94280  0.94375
      1667  0.94268  0.94069
      1668  0.93994  0.93763
      1669  0.93256  0.93444
      1670  0.92789  0.93101
      1671  0.92761  0.92730
      1672  0.92228  0.92356
      1673  0.91667  0.91981
      1674  0.91445  0.91596
      1675  0.91342  0.91203
      1676  0.90860  0.90823
      1677  0.90344  0.90439
      1678  0.90076  0.90033
      1679  0.89820  0.89615
      1680  0.89378  0.89203
      1681  0.88637  0.88779
      1682  0.87846  0.88336
      1683  0.87625  0.87894
      1684  0.87371  0.87444
      1685  0.86964  0.86974
      1686  0.86956  0.86495
      1687  0.86972  0.86017
      1688  0.86117  0.85532
      1689  0.84826  0.85031
      1690  0.85107  0.84533
      1691  0.85155  0.84033
      1692  0.84242  0.83534
      1693  0.83352  0.83041
      1694  0.82705  0.82526
      1695  0.82359  0.82003
      1696  0.82067  0.81495
      1697  0.81360  0.80990
      1698  0.80413  0.80458
      1699  0.79475  0.79915
      1700  0.78823  0.79380
      1701  0.78726  0.78854
