# nu(cm-1)        I      fit    const
      1366  1.24146  1.24125  1.00000
      1367  1.24277  1.24128  1.00000
      1368  1.24259  1.24134  1.00000
      1369  1.24199  1.24133  1.00000
      1370  1.24134  1.24127  1.00000
      1371  1.24025  1.24127  1.00000
      1372  1.23956  1.24148  1.00000
      1373  1.24105  1.24156  1.00000
      1374  1.24278  1.24143  1.00000
      1375  1.23936  1.24132  1.00000
      1376  1.23779  1.24121  1.00000
      1377  1.23991  1.24125  1.00000
      1378  1.24060  1.24148  1.00000
      1379  1.23991  1.24156  1.00000
      1380  1.23994  1.24145  1.00000
      1381  1.24085  1.24135  1.00000
      1382  1.23942  1.24151  1.00000
      1383  1.23923  1.24169  1.00000
      1384  1.24054  1.24167  1.00000
      1385  1.23920  1.24152  1.00000
      1386  1.23868  1.24148  1.00000
      1387  1.23989  1.24127  1.00000
      1388  1.24085  1.24088  1.00000
      1389  1.24044  1.24096  1.00000
      1390  1.24068  1.24095  1.00000
      1391  1.24136  1.24070  1.00000
      1392  1.23920  1.24061  1.00000
      1393  1.23748  1.24052  1.00000
      1394  1.23850  1.24042  1.00000
      1395  1.24092  1.24037  1.00000
      1396  1.24069  1.24028  1.00000
      1397  1.23861  1.24030  1.00000
      1398  1.23742  1.24032  1.00000
      1399  1.23807  1.24008  1.00000
